id,project_code,project_name,department,project_manager_id,start_date,end_date,budget,actual_cost,completion_percentage,status,currency,created_at
41f86314-4fc6-4c1a-88a0-28d1a2ec64a9,PRJ-019,PH Branch Setup,Engineering,96049166-34cc-443f-9619-31e6cad7bfe1,2024-08-05,2025-04-26,110911670.42,39489855.68,99,Completed,NGN,2026-02-23 10:54:52.261969
1c22d313-2c7b-4d50-bf33-422561301a16,PRJ-020,Digital Transformation Phase 1,Legal,2a220a53-4c79-4db1-87c1-80ad25938711,2024-02-04,2024-11-20,63290358.35,0,0,On Hold,NGN,2026-02-23 10:54:52.262112
cb670da7-8510-47d2-8624-3550553abc3d,PRJ-021,Automated Testing Pipeline,Marketing,a3dc6d64-2521-4735-8eba-fedb77f76c27,2025-03-05,2025-07-17,102708404.58,57955511.69,51,In Progress,NGN,2026-02-23 10:54:52.262127
a21e5720-2144-4fe6-9c2a-6e2470ced55e,PRJ-022,Data Center Migration,Sales,941bca12-f90a-4004-a85c-792003442bc3,2024-12-11,2025-11-28,100676132.42,42679360.31,26,In Progress,NGN,2026-02-23 10:54:52.262253
302162da-da63-4c2c-aed5-fa0378984458,PRJ-023,CRM Integration Project,Finance,fe7f7935-e1a2-4e48-a5f0-c9e4cd230a07,2024-02-08,2025-01-17,110130447.23,0,0,Planning,NGN,2026-02-23 10:54:52.262438
c241e53e-e314-4a9b-b556-cf27940e4174,PRJ-024,Vendor Management System,Operations,f425c095-0e0b-427a-9a01-773901b2fe8b,2025-01-26,2025-08-10,109842783.87,96966936.81,50,In Progress,NGN,2026-02-23 10:54:52.262455
fa9d319c-4b72-4bc7-94c5-168d095caa00,PRJ-025,Employee Wellness Program,Legal,13f74086-e15f-479b-aa48-73d5d60e788b,2024-12-01,2025-05-01,74918147.38,22611141.68,71,Completed,NGN,2026-02-23 10:54:52.262532
09d02e4f-fb26-4a54-a942-548394a98346,PRJ-026,Inventory Automation,Operations,6f46bc71-a97e-4989-9ec1-f114399219d1,2024-02-25,2024-08-11,108168407.22,102272069.0,65,In Progress,NGN,2026-02-23 10:54:52.262713
b8609a42-433b-4309-924b-b016723fb448,PRJ-027,Mobile App Development,HR,fe54ebbb-2c0c-4009-a811-ee089e7dec77,2025-04-19,2025-07-28,97403646.12,62124949.89,94,Completed,NGN,2026-02-23 10:54:52.262937
cef207ca-93ef-46e5-bf6d-01cac97540b4,PRJ-028,Annual Maintenance Shutdown,Marketing,1978e8ba-f74b-4dd7-a07f-9a02c99f5c62,2024-05-10,2025-03-24,15424645.47,0,0,Planning,NGN,2026-02-23 10:54:52.263089
0fa9e777-4942-48d3-b4a5-30a06b558701,PRJ-029,Building Security Upgrade,HR,41305b34-2ce5-4524-83d2-945750f27a0e,2025-04-19,2025-07-20,40874405.94,45090895.84,81,Completed,NGN,2026-02-23 10:54:52.263102
d2d06f81-45be-4fb2-b948-df93e98a7e12,PRJ-030,Financial Reporting Enhancement,Finance,6c9f29c5-5d5b-4a5d-afd0-14ab8be91abf,2024-01-13,2024-06-12,56297639.2,38335566.16,86,Completed,NGN,2026-02-23 10:54:52.263223
6bc45cca-43b0-4896-a0a1-8d876b96634a,PRJ-031,Generator Replacement Program,Marketing,edbb45c5-189f-4783-80a1-1d21a949775a,2024-05-21,2024-08-21,82824754.18,0,0,Cancelled,NGN,2026-02-23 10:54:52.263304
087f1489-550d-438e-bf2a-0acb9885b9c5,PRJ-032,Water Treatment Plant,Legal,cfc09f15-3619-4d62-b827-b15e76da2559,2024-07-02,2024-09-13,108419171.18,55345800.23,13,In Progress,NGN,2026-02-23 10:54:52.263318
2870a1b9-cb81-44f6-8791-126a7f1f496f,PRJ-033,Fire Safety Upgrade,IT,48b4f51b-78a9-483a-bd66-8342f857c878,2024-10-26,2025-05-22,10164055.56,8751991.2,12,In Progress,NGN,2026-02-23 10:54:52.263518
5a23fed7-aa64-48b1-b652-4671763bf064,PRJ-034,Network Infrastructure Overhaul,IT,3c669018-1bf6-405a-b165-f26eac71c967,2024-01-29,2024-09-18,58405397.75,44016862.6,71,In Progress,NGN,2026-02-23 10:54:52.263712
db6e2afa-8a33-4a3e-96b4-a592350a00ed,PRJ-035,Backup Power Systems,Procurement,09b4b3c7-5f7d-4c5c-9e3d-a7cb26571da5,2024-04-11,2024-06-26,117305947.17,37806550.22,84,Completed,NGN,2026-02-23 10:54:52.263804
